Tipo,ID,Prop1,Prop2,Prop3,Prop4,Prop5,Prop6,Prop7,Prop8,Prop9,Prop10,Prop11,Prop12,Prop13
Usuario,62,Ana Vargas,22,Guatemala,Premium,2016-05-29,Movil,True,Acción;Drama,,,,,
Usuario,63,Valeria Sanchez,50,Argentina,Estandar,2017-07-05,Smart TV,True,Comedia;Ciencia Ficción,,,,,
Usuario,64,Elena Fernandez,56,Mexico,Premium,2014-06-07,Movil,False,Acción,,,,,
Usuario,65,Pedro Lopez,31,Colombia,Basico,2016-06-06,Tablet,True,Comedia,,,,,
Usuario,66,Juan Fernandez,37,Estados Unidos,Basico,2014-09-19,PC,True,Ciencia Ficción,,,,,
Usuario,67,Luis Lopez,46,Argentina,Estandar,2010-07-31,Movil,False,Acción;Drama;Ciencia Ficción,,,,,
Usuario,68,Ana Ramirez,25,Chile,Premium,2014-08-24,Tablet,True,Acción;Terror;Drama,,,,,
Usuario,69,Elena Ramirez,48,Chile,Basico,2022-11-12,Movil,False,Ciencia Ficción;Acción;Comedia,,,,,
Usuario,70,Ana Ramirez,58,Peru,Basico,2020-06-28,PC,False,Comedia;Drama,,,,,
Usuario,71,Valeria Gomez,41,Peru,Premium,2016-08-16,Smart TV,True,Acción;Ciencia Ficción;Terror,,,,,
Usuario,72,Juan Martinez,43,Colombia,Basico,2022-11-13,Movil,True,Acción,,,,,
Usuario,73,Juan Fernandez,39,España,Premium,2010-08-05,Tablet,False,Acción;Terror;Comedia,,,,,
Usuario,74,Pedro Martinez,27,España,Estandar,2020-06-09,Smart TV,False,Drama,,,,,
Usuario,75,Pedro Rodriguez,50,Chile,Premium,2024-04-06,PC,True,Comedia;Drama;Ciencia Ficción,,,,,
Usuario,76,Luis Lopez,57,España,Basico,2024-12-09,Tablet,True,Ciencia Ficción;Drama;Comedia,,,,,
Usuario,77,Pedro Sanchez,26,España,Premium,2016-10-15,PC,True,Acción;Terror;Drama,,,,,
Usuario,78,Juan Perez,20,España,Premium,2011-05-08,Movil,False,Ciencia Ficción;Terror,,,,,
Usuario,79,Valeria Martinez,25,Estados Unidos,Premium,2024-02-05,Movil,False,Comedia,,,,,
Usuario,80,Ana Torres,38,Colombia,Basico,2020-05-27,Smart TV,True,Ciencia Ficción;Comedia;Drama,,,,,
Usuario,81,Maria Lopez,37,Colombia,Estandar,2024-06-27,Smart TV,False,Acción;Terror,,,,,
Usuario,82,Diana Lopez,56,Guatemala,Basico,2011-10-22,Tablet,False,Terror;Acción;Ciencia Ficción,,,,,
Usuario,83,Elena Torres,24,Mexico,Estandar,2024-05-14,PC,False,Acción;Comedia;Ciencia Ficción,,,,,
Usuario,84,Ana Perez,27,Chile,Premium,2014-04-26,Movil,False,Acción,,,,,
Usuario,85,Luis Perez,19,España,Premium,2015-12-26,PC,False,Acción;Ciencia Ficción,,,,,
Usuario,86,Pedro Fernandez,18,Estados Unidos,Basico,2011-11-16,Smart TV,False,Ciencia Ficción;Terror,,,,,
Usuario,87,Ana Fernandez,44,Estados Unidos,Basico,2021-02-21,Movil,True,Terror;Ciencia Ficción,,,,,
Usuario,88,Valeria Ramirez,42,Mexico,Basico,2013-12-02,PC,True,Acción,,,,,
Usuario,89,Raul Torres,24,Estados Unidos,Premium,2011-10-21,Movil,True,Terror,,,,,
Usuario,90,Valeria Rodriguez,27,Estados Unidos,Premium,2023-07-29,Tablet,True,Drama;Terror,,,,,
Usuario,91,Diana Martinez,36,Mexico,Basico,2021-02-27,Tablet,False,Acción,,,,,
Usuario,92,Juan Sanchez,24,Mexico,Estandar,2020-05-15,Tablet,True,Terror;Acción,,,,,
Usuario,93,Ana Rodriguez,56,España,Estandar,2014-08-15,Smart TV,False,Drama,,,,,
Usuario,94,Raul Sanchez,44,Chile,Estandar,2011-10-10,Movil,False,Acción;Terror;Ciencia Ficción,,,,,
Usuario,95,Elena Gomez,51,Chile,Estandar,2010-09-03,Smart TV,True,Drama;Acción;Terror,,,,,
Usuario,96,Raul Rodriguez,22,Peru,Premium,2014-07-28,Smart TV,False,Ciencia Ficción;Terror,,,,,
Usuario,97,Valeria Torres,52,Colombia,Basico,2016-02-03,Movil,True,Acción;Drama,,,,,
Usuario,98,Elena Gomez,29,Argentina,Premium,2018-02-14,Movil,True,Comedia;Terror;Drama,,,,,
Usuario,99,Carlos Perez,25,Colombia,Basico,2012-04-18,Movil,False,Drama,,,,,
Usuario,100,Carlos Perez,39,Mexico,Basico,2014-10-26,Movil,True,Terror,,,,,
Usuario,101,Pedro Gomez,23,Estados Unidos,Premium,2012-02-19,Tablet,False,Acción;Ciencia Ficción,,,,,
Usuario,102,Ana Vargas,55,Mexico,Basico,2021-11-21,PC,True,Acción,,,,,
Usuario,103,Valeria Ramirez,44,Chile,Basico,2010-04-28,Tablet,False,Drama;Acción;Terror,,,,,
Usuario,104,Diana Martinez,32,Estados Unidos,Basico,2024-07-19,Smart TV,False,Comedia;Acción,,,,,
Usuario,105,Ana Martinez,37,España,Estandar,2017-02-05,Smart TV,False,Drama,,,,,
Usuario,106,Valeria Ramirez,28,Guatemala,Premium,2015-02-07,Movil,False,Terror;Ciencia Ficción;Comedia,,,,,
Usuario,107,Luis Martinez,24,España,Premium,2017-06-24,Tablet,True,Comedia;Acción,,,,,
Usuario,108,Luis Rodriguez,53,Estados Unidos,Basico,2023-06-05,Movil,False,Acción;Comedia,,,,,
Usuario,109,Carlos Rodriguez,36,Argentina,Premium,2021-05-14,PC,True,Ciencia Ficción;Terror,,,,,
Usuario,110,Carlos Fernandez,55,Argentina,Estandar,2023-06-21,Smart TV,True,Drama,,,,,
Usuario,111,Ana Perez,54,Peru,Estandar,2022-11-10,PC,False,Acción;Drama,,,,,
Usuario,112,Pedro Vargas,52,Colombia,Basico,2012-01-19,PC,False,Acción;Terror,,,,,
Usuario,113,Ana Gomez,25,Estados Unidos,Premium,2012-11-15,Smart TV,True,Drama,,,,,
Usuario,114,Elena Martinez,33,Colombia,Estandar,2015-10-23,PC,False,Terror;Ciencia Ficción;Drama,,,,,
Usuario,115,Elena Lopez,41,Peru,Premium,2020-09-22,Tablet,False,Acción;Ciencia Ficción,,,,,
Usuario,116,Pedro Ramirez,29,Chile,Premium,2024-01-19,Movil,True,Acción;Drama;Terror,,,,,
Usuario,117,Valeria Gomez,53,Estados Unidos,Basico,2020-02-19,Movil,True,Terror;Comedia,,,,,
Usuario,118,Elena Ramirez,57,Estados Unidos,Basico,2013-12-21,PC,True,Terror,,,,,
Usuario,119,Pedro Lopez,21,Colombia,Premium,2018-09-17,PC,True,Comedia;Ciencia Ficción;Acción,,,,,
Usuario,120,Elena Perez,54,Chile,Premium,2023-01-26,Tablet,False,Drama;Terror;Comedia,,,,,
Usuario,121,Carlos Gomez,53,España,Premium,2010-08-25,Tablet,False,Comedia,,,,,
Usuario,122,Ana Rodriguez,47,Peru,Estandar,2013-07-18,PC,True,Terror;Drama,,,,,
Usuario,123,Ana Gomez,24,Peru,Estandar,2022-09-22,Smart TV,False,Ciencia Ficción;Terror;Drama,,,,,
Usuario,124,Maria Martinez,32,Guatemala,Estandar,2023-07-28,PC,False,Drama;Acción,,,,,
Usuario,125,Elena Vargas,22,España,Premium,2012-09-18,Tablet,False,Ciencia Ficción;Terror;Acción,,,,,
Usuario,126,Juan Gomez,34,Estados Unidos,Premium,2010-04-03,PC,True,Ciencia Ficción;Acción,,,,,
Usuario,127,Carlos Rodriguez,35,Argentina,Estandar,2024-06-01,Tablet,True,Ciencia Ficción,,,,,
Usuario,128,Ana Vargas,38,Estados Unidos,Premium,2016-05-24,Movil,False,Ciencia Ficción;Drama,,,,,
Usuario,129,Valeria Fernandez,22,Argentina,Basico,2017-08-28,Tablet,True,Terror;Drama;Comedia,,,,,
Usuario,130,Valeria Sanchez,20,España,Premium,2014-04-09,Movil,False,Comedia;Drama;Acción,,,,,
Usuario,131,Ana Gomez,54,Mexico,Basico,2015-08-28,Movil,True,Terror;Drama,,,,,
Usuario,132,Valeria Lopez,49,Mexico,Premium,2017-12-21,Smart TV,True,Terror;Acción,,,,,
Usuario,133,Ana Perez,30,Guatemala,Estandar,2010-11-15,Smart TV,True,Terror;Comedia,,,,,
Usuario,134,Raul Torres,58,Argentina,Premium,2024-11-23,Smart TV,True,Drama;Terror;Acción,,,,,
Usuario,135,Diana Rodriguez,41,Estados Unidos,Basico,2019-07-31,Tablet,True,Terror;Comedia;Acción,,,,,
Usuario,136,Valeria Torres,43,Argentina,Basico,2012-09-04,PC,False,Drama;Acción,,,,,
Usuario,137,Juan Torres,23,Mexico,Estandar,2024-08-25,Movil,False,Terror;Ciencia Ficción,,,,,
Usuario,138,Carlos Vargas,56,Guatemala,Premium,2021-12-21,Smart TV,False,Ciencia Ficción;Acción,,,,,
Usuario,139,Maria Torres,23,España,Estandar,2012-08-28,Tablet,True,Comedia;Ciencia Ficción,,,,,
Usuario,140,Raul Perez,38,Chile,Basico,2014-01-01,Tablet,True,Comedia,,,,,
Usuario,141,Diana Martinez,50,Chile,Basico,2012-01-19,PC,True,Comedia;Drama,,,,,
Usuario,142,Elena Vargas,30,Colombia,Estandar,2015-02-24,Tablet,False,Ciencia Ficción;Terror,,,,,
Usuario,143,Raul Lopez,44,Mexico,Premium,2011-08-18,Movil,True,Drama,,,,,
Usuario,144,Luis Ramirez,41,Peru,Estandar,2023-10-25,Movil,True,Comedia;Ciencia Ficción;Drama,,,,,
Usuario,145,Raul Perez,45,Mexico,Basico,2014-03-16,PC,False,Ciencia Ficción;Acción;Drama,,,,,
Usuario,146,Juan Rodriguez,36,Chile,Basico,2020-12-19,Smart TV,True,Ciencia Ficción;Acción;Drama,,,,,
Usuario,147,Luis Sanchez,48,Estados Unidos,Estandar,2010-08-19,Movil,False,Comedia;Drama,,,,,
Usuario,148,Maria Rodriguez,18,Estados Unidos,Estandar,2023-06-20,PC,False,Drama;Ciencia Ficción,,,,,
Usuario,149,Ana Sanchez,54,Peru,Estandar,2024-04-30,Tablet,False,Terror;Drama,,,,,
Usuario,150,Pedro Rodriguez,46,Mexico,Basico,2014-09-21,Smart TV,False,Terror,,,,,
Usuario,151,Elena Torres,53,Estados Unidos,Premium,2019-10-28,PC,True,Terror;Acción,,,,,
Usuario,152,Ana Gomez,23,Mexico,Basico,2015-02-09,Tablet,True,Drama,,,,,
Usuario,153,Juan Rodriguez,52,Peru,Estandar,2022-10-21,Smart TV,True,Acción;Comedia;Ciencia Ficción,,,,,
Usuario,154,Carlos Lopez,21,Colombia,Estandar,2017-06-24,Movil,True,Terror;Comedia,,,,,
Usuario,155,Elena Gomez,53,Colombia,Estandar,2012-05-10,Movil,True,Ciencia Ficción;Terror,,,,,
Usuario,156,Luis Vargas,19,Peru,Estandar,2015-10-14,Movil,True,Ciencia Ficción;Terror;Comedia,,,,,
Usuario,157,Luis Vargas,34,Guatemala,Premium,2017-06-08,Smart TV,True,Drama;Acción,,,,,
Usuario,158,Juan Sanchez,52,Argentina,Premium,2024-09-16,Movil,True,Comedia;Drama;Acción,,,,,
Usuario,159,Carlos Perez,45,España,Basico,2019-01-22,PC,False,Comedia,,,,,
Usuario,160,Raul Fernandez,58,Colombia,Premium,2024-10-16,Smart TV,False,Ciencia Ficción;Terror,,,,,
Usuario,161,Elena Torres,46,Guatemala,Estandar,2010-06-14,Smart TV,False,Ciencia Ficción;Comedia,,,,,
Usuario,162,Maria Vargas,24,Estados Unidos,Premium,2020-07-06,Movil,False,Acción,,,,,
Usuario,163,Diana Lopez,24,Guatemala,Basico,2024-05-19,Movil,False,Ciencia Ficción,,,,,
Usuario,164,Maria Gomez,30,Chile,Premium,2013-09-06,Movil,True,Acción;Ciencia Ficción,,,,,
Usuario,165,Juan Gomez,24,Mexico,Premium,2017-01-29,Tablet,True,Terror;Comedia,,,,,
Usuario,166,Maria Ramirez,27,Argentina,Premium,2023-09-15,Movil,True,Comedia;Acción;Ciencia Ficción,,,,,
Usuario,167,Maria Torres,38,Argentina,Basico,2016-06-04,PC,True,Ciencia Ficción;Drama;Acción,,,,,
Usuario,168,Maria Gomez,48,España,Basico,2018-02-03,Tablet,False,Terror;Acción,,,,,
Usuario,169,Elena Martinez,26,Guatemala,Premium,2015-10-15,Tablet,False,Comedia;Acción;Ciencia Ficción,,,,,
Usuario,170,Elena Gomez,52,Peru,Premium,2019-01-30,Movil,False,Ciencia Ficción;Acción,,,,,
Usuario,171,Juan Fernandez,20,Guatemala,Premium,2010-02-23,Movil,True,Terror,,,,,
Usuario,172,Carlos Vargas,48,Argentina,Premium,2011-02-05,PC,False,Terror;Drama,,,,,
Usuario,173,Diana Torres,31,Argentina,Premium,2023-07-05,Smart TV,True,Comedia;Terror;Drama,,,,,
Usuario,174,Valeria Fernandez,60,Peru,Premium,2018-06-06,Smart TV,True,Comedia;Terror,,,,,
Usuario,175,Ana Rodriguez,36,Estados Unidos,Estandar,2023-02-25,Movil,False,Comedia;Acción;Drama,,,,,
Usuario,176,Raul Gomez,60,Estados Unidos,Premium,2022-09-24,Movil,False,Comedia;Ciencia Ficción,,,,,
Usuario,177,Elena Fernandez,43,Guatemala,Estandar,2010-03-20,Smart TV,True,Ciencia Ficción,,,,,
Usuario,178,Pedro Torres,53,Guatemala,Basico,2023-03-03,Tablet,True,Ciencia Ficción;Comedia;Drama,,,,,
Usuario,179,Juan Rodriguez,31,Colombia,Basico,2011-02-11,PC,True,Acción;Terror;Comedia,,,,,
Usuario,180,Maria Perez,50,Guatemala,Estandar,2019-06-06,Smart TV,True,Terror;Ciencia Ficción;Comedia,,,,,
Usuario,181,Diana Martinez,29,Chile,Estandar,2021-04-28,Tablet,False,Terror;Acción;Ciencia Ficción,,,,,
Usuario,182,Valeria Vargas,48,Mexico,Premium,2018-03-21,PC,False,Comedia;Acción;Drama,,,,,
Usuario,183,Raul Martinez,31,Colombia,Estandar,2014-12-31,PC,True,Ciencia Ficción;Acción,,,,,
Usuario,184,Ana Sanchez,33,Estados Unidos,Estandar,2021-06-20,PC,False,Ciencia Ficción,,,,,
Usuario,185,Ana Ramirez,46,Mexico,Basico,2014-02-03,Smart TV,False,Drama;Terror,,,,,
Usuario,186,Ana Lopez,34,Estados Unidos,Basico,2012-12-21,Movil,True,Comedia;Acción;Ciencia Ficción,,,,,
Usuario,187,Juan Ramirez,47,Guatemala,Estandar,2012-01-30,Tablet,True,Terror,,,,,
Usuario,188,Raul Vargas,41,Argentina,Premium,2016-10-15,Smart TV,True,Ciencia Ficción;Comedia;Drama,,,,,
Usuario,189,Diana Torres,24,Chile,Premium,2014-01-05,Movil,True,Ciencia Ficción;Comedia;Terror,,,,,
Usuario,190,Elena Lopez,25,Guatemala,Basico,2024-08-09,Smart TV,True,Acción;Drama;Terror,,,,,
Usuario,191,Luis Sanchez,19,España,Premium,2011-10-26,Movil,True,Terror,,,,,
Usuario,192,Elena Rodriguez,49,Argentina,Premium,2018-11-23,Movil,True,Comedia,,,,,
Usuario,193,Luis Gomez,36,Mexico,Premium,2018-03-13,Smart TV,False,Ciencia Ficción;Terror;Comedia,,,,,
Usuario,194,Diana Sanchez,19,Chile,Premium,2011-09-04,Tablet,True,Drama,,,,,
Usuario,195,Diana Perez,26,Peru,Basico,2013-04-12,PC,False,Terror,,,,,
Usuario,196,Juan Perez,58,Argentina,Basico,2016-01-16,Movil,False,Ciencia Ficción,,,,,
Usuario,197,Luis Vargas,19,Mexico,Premium,2022-04-01,Tablet,True,Comedia;Acción,,,,,
Usuario,198,Elena Perez,41,Colombia,Estandar,2014-06-11,Movil,True,Acción,,,,,
Usuario,199,Juan Lopez,25,Chile,Estandar,2017-04-02,PC,True,Drama;Comedia,,,,,
Usuario,200,Ana Perez,27,Argentina,Basico,2022-04-28,Movil,False,Comedia,,,,,
Usuario,201,Elena Perez,59,Argentina,Estandar,2012-09-14,Tablet,False,Drama;Comedia;Terror,,,,,
Usuario,202,Diana Lopez,23,España,Estandar,2024-09-23,PC,False,Comedia,,,,,
Usuario,203,Elena Lopez,49,Estados Unidos,Estandar,2019-05-20,Tablet,False,Ciencia Ficción,,,,,
Usuario,204,Juan Perez,39,Estados Unidos,Basico,2014-07-04,Movil,True,Drama;Terror,,,,,
Usuario,205,Luis Ramirez,41,España,Estandar,2024-03-18,Tablet,False,Terror;Comedia;Acción,,,,,
Usuario,206,Carlos Perez,36,Argentina,Premium,2021-05-10,Tablet,False,Acción,,,,,
Usuario,207,Luis Lopez,33,Peru,Estandar,2021-04-27,Smart TV,True,Ciencia Ficción,,,,,
Usuario,208,Elena Fernandez,42,Colombia,Estandar,2010-12-04,PC,True,Drama;Terror,,,,,
Usuario,209,Diana Lopez,44,Colombia,Basico,2018-06-26,Tablet,True,Comedia,,,,,
Usuario,210,Diana Gomez,24,España,Estandar,2014-10-04,PC,False,Drama;Acción;Comedia,,,,,
Usuario,211,Ana Ramirez,43,Estados Unidos,Basico,2013-01-19,PC,False,Acción;Ciencia Ficción;Terror,,,,,
Usuario,212,Elena Ramirez,60,España,Premium,2019-01-07,Tablet,False,Drama;Terror;Acción,,,,,
Usuario,213,Carlos Rodriguez,24,Mexico,Premium,2021-04-03,Movil,True,Comedia;Drama;Terror,,,,,
Usuario,214,Luis Lopez,54,España,Premium,2012-06-23,PC,True,Ciencia Ficción,,,,,
Usuario,215,Diana Ramirez,43,Argentina,Basico,2015-01-14,PC,False,Comedia;Terror,,,,,
Usuario,216,Pedro Torres,18,Guatemala,Premium,2016-09-14,Movil,True,Terror;Acción;Comedia,,,,,
Usuario,217,Pedro Vargas,26,Guatemala,Basico,2021-01-02,Smart TV,True,Drama;Comedia;Ciencia Ficción,,,,,
Usuario,218,Diana Gomez,27,Chile,Estandar,2021-07-08,Smart TV,True,Ciencia Ficción;Terror,,,,,
Usuario,219,Diana Fernandez,46,Guatemala,Premium,2020-10-09,Smart TV,False,Terror;Ciencia Ficción;Drama,,,,,
Usuario,220,Elena Lopez,37,Mexico,Premium,2023-08-05,Smart TV,False,Terror;Comedia;Acción,,,,,
Usuario,221,Ana Ramirez,39,Argentina,Estandar,2022-05-28,Movil,True,Comedia;Drama,,,,,
Usuario,222,Luis Perez,23,Chile,Estandar,2018-09-10,Smart TV,True,Comedia;Drama;Ciencia Ficción,,,,,
Usuario,223,Maria Vargas,51,Chile,Basico,2013-03-28,Tablet,True,Terror,,,,,
Usuario,224,Juan Vargas,32,España,Premium,2010-11-16,PC,False,Ciencia Ficción,,,,,
Usuario,225,Diana Rodriguez,60,Mexico,Premium,2013-09-12,Smart TV,False,Acción,,,,,
Usuario,226,Raul Torres,35,España,Estandar,2014-01-31,Movil,False,Ciencia Ficción;Comedia;Acción,,,,,
Usuario,227,Raul Torres,59,España,Premium,2022-08-28,PC,False,Terror,,,,,
Usuario,228,Juan Fernandez,53,Estados Unidos,Basico,2018-03-02,Tablet,True,Terror;Comedia,,,,,
Usuario,229,Valeria Rodriguez,59,España,Estandar,2011-04-08,Smart TV,False,Acción;Ciencia Ficción,,,,,
Usuario,230,Pedro Gomez,49,Argentina,Premium,2022-02-03,Smart TV,False,Drama,,,,,
Usuario,231,Juan Ramirez,36,Guatemala,Estandar,2022-08-11,PC,False,Ciencia Ficción;Comedia;Acción,,,,,
Usuario,232,Maria Vargas,48,España,Premium,2023-01-16,Smart TV,False,Ciencia Ficción,,,,,
Usuario,233,Raul Fernandez,26,Guatemala,Estandar,2010-06-12,PC,False,Comedia;Ciencia Ficción;Acción,,,,,
Usuario,234,Elena Gomez,36,Chile,Estandar,2014-11-21,Smart TV,True,Terror;Ciencia Ficción,,,,,
Usuario,235,Elena Torres,54,Chile,Premium,2018-03-02,Tablet,False,Terror,,,,,
Usuario,236,Pedro Vargas,31,Mexico,Estandar,2021-09-09,Tablet,False,Terror;Drama;Acción,,,,,
Usuario,237,Raul Torres,44,Colombia,Premium,2017-12-16,PC,False,Drama;Terror;Ciencia Ficción,,,,,
Usuario,238,Juan Torres,49,Peru,Basico,2016-11-06,Tablet,True,Comedia;Drama,,,,,
Usuario,239,Carlos Ramirez,47,Mexico,Basico,2024-04-25,Smart TV,False,Acción;Drama;Comedia,,,,,
Usuario,240,Maria Fernandez,34,España,Basico,2019-03-18,Tablet,True,Drama;Comedia,,,,,
Usuario,241,Elena Vargas,55,España,Basico,2022-02-28,Tablet,False,Drama;Ciencia Ficción,,,,,
Usuario,242,Luis Lopez,43,Estados Unidos,Estandar,2022-06-30,Tablet,True,Terror;Drama,,,,,
Usuario,243,Luis Vargas,33,Guatemala,Premium,2017-10-07,PC,False,Ciencia Ficción;Comedia;Terror,,,,,
Usuario,244,Raul Perez,49,España,Estandar,2012-09-14,Movil,True,Terror,,,,,
Usuario,245,Pedro Vargas,18,Guatemala,Basico,2023-07-13,Smart TV,True,Ciencia Ficción;Acción;Comedia,,,,,
